year,burlpool,burltransit,burlbus,burlrail,burlsubw,burltroll,burlferry,burlwalk,burlbike,burltmo,burltaxi,burlmcyc,burlother,burlwfh,camdpool,camdtransit,camdbus,camdrail,camdsubw,camdtroll,camdferry,camdwalk,camdbike,camdtmo,camdtaxi,camdmcyc,camdother,camdwfh,glocpool,gloctransit,glocbus,glocrail,glocsubw,gloctroll,glocferry,glocwalk,glocbike,gloctmo,gloctaxi,glocmcyc,glocother,glocwfh,mercpool,merctransit,mercbus,mercrail,mercsubw,merctroll,mercferry,mercwalk,mercbike,merctmo,merctaxi,mercmcyc,mercother,mercwfh,buckpool,bucktransit,buckbus,buckrail,bucksubw,bucktroll,buckferry,buckwalk,buckbike,bucktmo,bucktaxi,buckmcyc,buckother,buckwfh,chespool,chestransit,chesbus,chesrail,chessubw,chestroll,chesferry,cheswalk,chesbike,chestmo,chestaxi,chesmcyc,chesother,cheswfh,delapool,delatransit,delabus,delarail,delasubw,delatroll,delaferry,delawalk,delabike,delatmo,delataxi,delamcyc,delaother,delawfh,montpool,monttransit,montbus,montrail,montsubw,monttroll,montferry,montwalk,montbike,monttmo,monttaxi,montmcyc,montother,montwfh,philpool,philtransit,philbus,philrail,philsubw,philtroll,philferry,philwalk,philbike,philtmo,philtaxi,philmcyc,philother,philwfh,njcospool,njcostransit,njcosbus,njcosrail,njcossubw,njcostroll,njcosferry,njcoswalk,njcosbike,njcostmo,njcostaxi,njcosmcyc,njcosother,njcoswfh,pasubpool,pasubtransit,pasubbus,pasubrail,pasubsubw,pasubtroll,pasubferry,pasubwalk,pasubbike,pasubtmo,pasubtaxi,pasubmcyc,pasubother,pasubwfh,dvrpcpool,dvrpctransit,dvrpcbus,dvrpcrail,dvrpcsubw,dvrpctroll,dvrpcferry,dvrpcwalk,dvrpcbike,dvrpctmo,dvrpctaxi,dvrpcmcyc,dvrpcother,dvrpcwfh
2006,0.085,0.031,0.014,0.01,0.007,0.001,0.0,0.021,0.002,0.002,0.001,0.001,0.006,0.029,0.108,0.08,0.041,0.016,0.021,0.001,0.001,0.022,0.002,0.01,0.002,0.001,0.008,0.031,0.075,0.026,0.018,0.004,0.004,0.0,0.0,0.015,0.002,0.003,0.0,0.001,0.002,0.025,0.096,0.076,0.031,0.04,0.004,0.0,0.0,0.045,0.009,0.011,0.0,0.001,0.01,0.034,0.084,0.026,0.006,0.019,0.001,0.0,0.0,0.022,0.001,0.005,0.0,0.001,0.004,0.034,0.082,0.025,0.009,0.015,0.001,0.0,0.0,0.024,0.001,0.012,0.001,0.002,0.009,0.052,0.093,0.081,0.036,0.024,0.017,0.005,0.0,0.038,0.002,0.009,0.0,0.001,0.008,0.028,0.074,0.039,0.008,0.027,0.004,0.0,0.0,0.03,0.002,0.008,0.0,0.001,0.007,0.038,0.103,0.264,0.191,0.024,0.042,0.007,0.0,0.08,0.012,0.01,0.001,0.001,0.008,0.024,0.093,0.055,0.027,0.018,0.01,0.0,0.0,0.026,0.003,0.007,0.001,0.001,0.007,0.03,0.082,0.042,0.014,0.022,0.005,0.001,0.0,0.028,0.002,0.008,0.0,0.001,0.007,0.038,0.09,0.094,0.056,0.021,0.015,0.002,0.0,0.039,0.004,0.008,0.001,0.001,0.007,0.032
2007,0.083,0.033,0.012,0.012,0.009,0.0,0.0,0.012,0.003,0.002,0.001,0.001,0.008,0.036,0.108,0.081,0.035,0.019,0.027,0.0,0.0,0.024,0.003,0.001,0.001,0.0,0.005,0.027,0.093,0.027,0.015,0.006,0.006,0.0,0.0,0.021,0.0,0.001,0.0,0.0,0.003,0.036,0.11,0.068,0.028,0.037,0.002,0.001,0.0,0.037,0.005,0.004,0.004,0.0,0.015,0.035,0.077,0.028,0.004,0.022,0.002,0.0,0.0,0.019,0.002,0.001,0.0,0.001,0.004,0.04,0.083,0.025,0.006,0.016,0.002,0.0,0.0,0.023,0.001,0.001,0.001,0.001,0.004,0.055,0.083,0.091,0.043,0.029,0.016,0.003,0.0,0.039,0.004,0.002,0.001,0.001,0.005,0.037,0.088,0.044,0.011,0.029,0.003,0.0,0.0,0.031,0.003,0.001,0.0,0.001,0.004,0.039,0.099,0.253,0.181,0.024,0.043,0.004,0.0,0.079,0.01,0.003,0.002,0.001,0.007,0.028,0.099,0.055,0.023,0.019,0.013,0.0,0.0,0.023,0.003,0.002,0.002,0.0,0.008,0.033,0.083,0.046,0.015,0.025,0.005,0.001,0.0,0.028,0.003,0.001,0.0,0.001,0.004,0.042,0.091,0.095,0.055,0.023,0.016,0.001,0.0,0.038,0.004,0.002,0.001,0.001,0.006,0.036
2008,0.094,0.032,0.013,0.013,0.006,0.0,0.0,0.011,0.002,0.002,0.001,0.001,0.007,0.035,0.108,0.076,0.032,0.017,0.026,0.001,0.0,0.023,0.003,0.004,0.003,0.0,0.008,0.026,0.086,0.021,0.014,0.004,0.003,0.0,0.0,0.017,0.002,0.001,0.0,0.001,0.01,0.029,0.107,0.07,0.027,0.039,0.004,0.0,0.0,0.037,0.009,0.006,0.005,0.001,0.017,0.046,0.082,0.03,0.006,0.021,0.002,0.0,0.0,0.015,0.002,0.001,0.0,0.001,0.005,0.048,0.075,0.027,0.006,0.019,0.002,0.001,0.0,0.022,0.002,0.002,0.0,0.002,0.007,0.05,0.083,0.088,0.042,0.03,0.013,0.003,0.0,0.042,0.002,0.001,0.0,0.001,0.006,0.029,0.08,0.044,0.008,0.032,0.004,0.001,0.0,0.032,0.003,0.002,0.001,0.001,0.004,0.038,0.089,0.268,0.187,0.027,0.05,0.004,0.0,0.086,0.016,0.002,0.002,0.0,0.007,0.024,0.1,0.052,0.022,0.018,0.011,0.0,0.0,0.022,0.004,0.003,0.003,0.001,0.01,0.034,0.08,0.047,0.014,0.026,0.005,0.001,0.0,0.028,0.002,0.002,0.0,0.001,0.006,0.041,0.088,0.097,0.055,0.024,0.017,0.001,0.0,0.039,0.006,0.002,0.001,0.001,0.007,0.035
2009,0.068,0.029,0.011,0.013,0.005,0.0,0.0,0.019,0.002,0.001,0.0,0.0,0.007,0.062,0.093,0.078,0.031,0.014,0.032,0.001,0.0,0.017,0.004,0.003,0.002,0.001,0.011,0.029,0.084,0.033,0.014,0.009,0.01,0.0,0.0,0.012,0.0,0.001,0.0,0.001,0.008,0.036,0.106,0.068,0.029,0.034,0.003,0.002,0.001,0.037,0.007,0.003,0.003,0.0,0.017,0.045,0.077,0.029,0.003,0.023,0.003,0.0,0.0,0.015,0.003,0.002,0.001,0.001,0.004,0.038,0.068,0.031,0.009,0.021,0.002,0.0,0.0,0.017,0.005,0.0,0.0,0.0,0.007,0.048,0.082,0.087,0.042,0.031,0.012,0.003,0.0,0.035,0.004,0.001,0.001,0.0,0.005,0.034,0.066,0.049,0.012,0.032,0.004,0.001,0.0,0.035,0.004,0.001,0.0,0.001,0.003,0.04,0.085,0.249,0.174,0.031,0.039,0.006,0.0,0.087,0.022,0.004,0.004,0.0,0.005,0.034,0.087,0.054,0.022,0.017,0.014,0.001,0.0,0.021,0.004,0.002,0.001,0.001,0.011,0.043,0.073,0.048,0.015,0.027,0.005,0.001,0.0,0.026,0.004,0.001,0.0,0.001,0.005,0.04,0.08,0.097,0.055,0.025,0.016,0.002,0.0,0.039,0.008,0.002,0.002,0.001,0.007,0.04
2010,0.08,0.035,0.011,0.02,0.004,0.0,0.0,0.011,0.003,0.001,0.0,0.0,0.007,0.035,0.083,0.081,0.039,0.016,0.026,0.0,0.0,0.018,0.001,0.001,0.0,0.0,0.009,0.027,0.073,0.022,0.012,0.004,0.005,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.006,0.026,0.109,0.077,0.032,0.04,0.004,0.0,0.001,0.05,0.006,0.002,0.002,0.0,0.014,0.049,0.074,0.027,0.004,0.021,0.002,0.0,0.0,0.015,0.001,0.001,0.001,0.0,0.003,0.043,0.068,0.026,0.006,0.019,0.002,0.0,0.0,0.024,0.001,0.001,0.0,0.001,0.01,0.061,0.067,0.085,0.043,0.028,0.011,0.003,0.0,0.038,0.002,0.0,0.0,0.0,0.005,0.035,0.073,0.057,0.017,0.036,0.005,0.0,0.0,0.028,0.002,0.002,0.0,0.001,0.005,0.044,0.089,0.272,0.199,0.027,0.041,0.004,0.0,0.083,0.018,0.004,0.002,0.001,0.007,0.028,0.086,0.056,0.025,0.02,0.011,0.0,0.0,0.022,0.002,0.001,0.001,0.0,0.009,0.034,0.071,0.049,0.017,0.027,0.005,0.001,0.0,0.026,0.001,0.001,0.0,0.001,0.006,0.045,0.08,0.102,0.061,0.025,0.015,0.001,0.0,0.038,0.006,0.002,0.001,0.001,0.007,0.038
2011,0.075,0.034,0.011,0.017,0.005,0.002,0.0,0.018,0.003,0.002,0.0,0.002,0.004,0.044,0.088,0.089,0.038,0.018,0.032,0.001,0.0,0.015,0.002,0.001,0.001,0.0,0.005,0.036,0.066,0.02,0.01,0.006,0.004,0.0,0.0,0.016,0.002,0.0,0.0,0.0,0.011,0.021,0.09,0.081,0.032,0.046,0.003,0.0,0.0,0.045,0.004,0.004,0.004,0.0,0.012,0.046,0.08,0.033,0.005,0.023,0.004,0.0,0.0,0.019,0.002,0.002,0.001,0.001,0.005,0.047,0.067,0.027,0.007,0.019,0.001,0.0,0.0,0.02,0.001,0.001,0.0,0.001,0.007,0.064,0.07,0.095,0.037,0.039,0.017,0.002,0.0,0.041,0.002,0.002,0.001,0.001,0.006,0.037,0.073,0.046,0.009,0.032,0.005,0.0,0.0,0.028,0.003,0.002,0.0,0.002,0.004,0.044,0.091,0.256,0.183,0.028,0.042,0.004,0.0,0.092,0.018,0.003,0.001,0.002,0.009,0.03,0.081,0.059,0.024,0.022,0.012,0.001,0.0,0.023,0.003,0.002,0.001,0.001,0.007,0.038,0.073,0.049,0.013,0.029,0.006,0.001,0.0,0.027,0.002,0.002,0.001,0.001,0.005,0.047,0.079,0.099,0.055,0.026,0.016,0.002,0.0,0.041,0.006,0.002,0.001,0.001,0.007,0.041
2012,0.078,0.036,0.016,0.014,0.006,0.0,0.0,0.012,0.004,0.001,0.0,0.001,0.006,0.039,0.096,0.079,0.031,0.014,0.034,0.0,0.0,0.016,0.001,0.001,0.0,0.0,0.007,0.033,0.071,0.016,0.008,0.003,0.004,0.0,0.0,0.02,0.001,0.0,0.0,0.0,0.01,0.03,0.084,0.073,0.028,0.042,0.002,0.001,0.0,0.029,0.009,0.003,0.003,0.0,0.009,0.058,0.077,0.032,0.004,0.024,0.003,0.0,0.0,0.019,0.002,0.001,0.0,0.001,0.005,0.047,0.05,0.029,0.008,0.021,0.001,0.0,0.0,0.039,0.002,0.001,0.0,0.001,0.005,0.064,0.078,0.096,0.052,0.03,0.013,0.001,0.0,0.034,0.002,0.001,0.0,0.001,0.007,0.039,0.074,0.051,0.014,0.032,0.005,0.0,0.0,0.033,0.002,0.0,0.0,0.0,0.002,0.048,0.091,0.26,0.182,0.025,0.049,0.004,0.0,0.082,0.023,0.004,0.002,0.002,0.007,0.032,0.084,0.054,0.022,0.018,0.013,0.0,0.0,0.018,0.004,0.001,0.001,0.0,0.008,0.04,0.071,0.051,0.018,0.027,0.005,0.0,0.0,0.031,0.002,0.001,0.0,0.001,0.004,0.049,0.079,0.1,0.057,0.024,0.018,0.001,0.0,0.039,0.007,0.002,0.001,0.001,0.006,0.042
2013,0.056,0.034,0.011,0.015,0.007,0.0,0.0,0.015,0.004,0.001,0.0,0.001,0.007,0.038,0.077,0.082,0.034,0.015,0.03,0.001,0.0,0.027,0.002,0.001,0.001,0.0,0.009,0.033,0.067,0.018,0.009,0.004,0.004,0.001,0.0,0.015,0.005,0.0,0.0,0.0,0.005,0.023,0.102,0.082,0.04,0.04,0.002,0.0,0.0,0.025,0.01,0.002,0.002,0.0,0.025,0.051,0.072,0.029,0.005,0.022,0.003,0.0,0.0,0.018,0.003,0.002,0.0,0.002,0.006,0.049,0.059,0.032,0.007,0.024,0.001,0.0,0.0,0.043,0.001,0.001,0.0,0.0,0.004,0.062,0.067,0.104,0.052,0.033,0.018,0.002,0.0,0.046,0.005,0.002,0.001,0.001,0.004,0.039,0.072,0.054,0.013,0.037,0.003,0.0,0.0,0.029,0.003,0.001,0.0,0.001,0.007,0.05,0.085,0.272,0.181,0.032,0.055,0.004,0.0,0.081,0.023,0.003,0.002,0.001,0.009,0.029,0.075,0.057,0.025,0.019,0.013,0.001,0.0,0.021,0.005,0.001,0.001,0.0,0.011,0.037,0.068,0.054,0.018,0.03,0.006,0.0,0.0,0.033,0.003,0.001,0.0,0.001,0.006,0.05,0.074,0.106,0.059,0.027,0.02,0.001,0.0,0.041,0.008,0.002,0.001,0.001,0.008,0.041
2014,0.074,0.035,0.014,0.016,0.005,0.0,0.0,0.011,0.003,0.001,0.0,0.001,0.005,0.033,0.093,0.064,0.028,0.009,0.026,0.001,0.0,0.025,0.002,0.002,0.001,0.001,0.009,0.03,0.065,0.022,0.015,0.002,0.004,0.001,0.0,0.011,0.006,0.002,0.0,0.002,0.006,0.04,0.111,0.078,0.03,0.044,0.003,0.001,0.0,0.026,0.007,0.002,0.002,0.0,0.003,0.061,0.082,0.03,0.006,0.022,0.001,0.0,0.0,0.018,0.002,0.001,0.0,0.001,0.004,0.047,0.083,0.03,0.005,0.023,0.002,0.0,0.0,0.038,0.003,0.001,0.0,0.001,0.008,0.059,0.067,0.105,0.047,0.038,0.016,0.003,0.0,0.035,0.002,0.001,0.001,0.001,0.006,0.039,0.071,0.055,0.011,0.039,0.004,0.0,0.0,0.026,0.003,0.001,0.0,0.001,0.004,0.062,0.083,0.268,0.18,0.027,0.055,0.006,0.0,0.082,0.019,0.002,0.001,0.001,0.01,0.029,0.087,0.051,0.022,0.018,0.011,0.0,0.0,0.019,0.004,0.002,0.001,0.001,0.006,0.04,0.076,0.054,0.016,0.031,0.005,0.001,0.0,0.028,0.002,0.001,0.0,0.001,0.005,0.053,0.081,0.104,0.057,0.026,0.019,0.002,0.0,0.038,0.007,0.001,0.001,0.001,0.006,0.043
2015,0.078,0.034,0.008,0.017,0.008,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.008,0.031,0.081,0.074,0.029,0.015,0.029,0.0,0.0,0.022,0.001,0.004,0.003,0.001,0.008,0.034,0.064,0.021,0.012,0.004,0.004,0.0,0.0,0.013,0.001,0.001,0.0,0.001,0.009,0.029,0.081,0.089,0.035,0.05,0.003,0.001,0.0,0.037,0.005,0.002,0.001,0.001,0.004,0.04,0.074,0.037,0.003,0.031,0.002,0.0,0.0,0.021,0.001,0.002,0.001,0.0,0.004,0.046,0.069,0.024,0.007,0.015,0.002,0.0,0.0,0.027,0.002,0.001,0.0,0.001,0.005,0.066,0.069,0.115,0.054,0.037,0.021,0.003,0.0,0.037,0.002,0.001,0.001,0.0,0.008,0.045,0.058,0.055,0.015,0.035,0.005,0.0,0.0,0.025,0.002,0.002,0.001,0.001,0.004,0.055,0.08,0.252,0.176,0.027,0.045,0.004,0.0,0.09,0.022,0.003,0.002,0.001,0.01,0.033,0.077,0.056,0.021,0.022,0.013,0.0,0.0,0.021,0.002,0.002,0.001,0.001,0.007,0.034,0.067,0.057,0.019,0.03,0.007,0.001,0.0,0.027,0.002,0.001,0.001,0.001,0.005,0.053,0.073,0.104,0.058,0.027,0.018,0.001,0.0,0.041,0.007,0.002,0.001,0.001,0.007,0.043
